child_name,parent_name
Unspecified congenital malformation of limbs,Other congenital malformations of limbs
Omphalocele,Abdominal wall defects
Gastroschisis,Abdominal wall defects
Other congenital malformations of abdominal wall,Abdominal wall defects
Congenital constriction bands amniotic band sequence resulting in major malformations,Vascular disruption anomalies
VATERVACTERL association,Other anomalies syndromes
PierreRobin sequence,Other anomalies syndromes
Caudal regression sequence,Other anomalies syndromes
Sirenomelia,Other anomalies syndromes
Laterality anomalies,Other anomalies syndromes
Other congenital malformations of diaphragm,Other anomalies syndromes
Other congenital malformations of musculoskeletal system,Other anomalies syndromes
Congenital malformation of musculoskeletal system unspecified,Other anomalies syndromes
Congenital renal artery stenosis,Other congenital malformations of peripheral vascular system
Other congenital malformations of renal artery,Other congenital malformations of peripheral vascular system
Peripheral arteriovenous malformation,Other congenital malformations of peripheral vascular system
Congenital phlebectasia,Other congenital malformations of peripheral vascular system
Other specified congenital malformations of peripheral vascular system,Other congenital malformations of peripheral vascular system
Congenital malformation of peripheral vascular system unspecified,Other congenital malformations of peripheral vascular system
Arteriovenous malformation of precerebral vessels,Other congenital malformations of circulatory system
Other malformations of precerebral vessels,Other congenital malformations of circulatory system
Arteriovenous malformation of cerebral vessels,Other congenital malformations of circulatory system
Other malformations of cerebral vessels,Other congenital malformations of circulatory system
Other specified congenital malformations of circulatory system,Other congenital malformations of circulatory system
Congenital malformation of circulatory system unspecified,Other congenital malformations of circulatory system
Web of larynx,Congenital malformations of larynx
Congenital subglottic stenosis,Congenital malformations of larynx
Laryngeal hypoplasia,Congenital malformations of larynx
Laryngocele,Congenital malformations of larynx
Congenital laryngomalacia,Congenital malformations of larynx
Other congenital malformations of larynx,Congenital malformations of larynx
Congenital malformation of larynx unspecified,Congenital malformations of larynx
Craniosynostosis,Other congenital malformations of skull and face bones
Oculomandibular dysostosis,Other congenital malformations of skull and face bones
Other specified congenital malformations of skull and face bones,Other congenital malformations of skull and face bones
Congenital malformation of skull and face bones unspecified,Other congenital malformations of skull and face bones
KlippelFeil syndrome,Congenital malformations of spine and bony thorax
Congenital spondylolisthesis,Congenital malformations of spine and bony thorax
Congenital scoliosis due to congenital bony malformation,Congenital malformations of spine and bony thorax
Other congenital malformations of spine not associated with scoliosis,Congenital malformations of spine and bony thorax
Other congenital malformations of ribs,Congenital malformations of spine and bony thorax
Congenital malformation of sternum,Congenital malformations of spine and bony thorax
Other congenital malformations of bony thorax,Congenital malformations of spine and bony thorax
Congenital malformation of bony thorax unspecified,Congenital malformations of spine and bony thorax
Congenital absence of breast with absent nipple,Congenital malformations of breast
Accessory breast,Congenital malformations of breast
Absent nipple,Congenital malformations of breast
Other congenital malformations of breast,Congenital malformations of breast
Congenital malformation of breast unspecified,Congenital malformations of breast
Congenital alopecia,Other congenital malformations of integument
Congenital morphological disturbances of hair not elsewhere classified,Other congenital malformations of integument
Other congenital malformations of hair,Other congenital malformations of integument
Anonychia,Other congenital malformations of integument
Congenital leukonychia,Other congenital malformations of integument
Other specified congenital malformations of integument,Other congenital malformations of integument
Congenital malformation of integument unspecified,Other congenital malformations of integument
Congenital malformations of spleen,Other anomalies syndromes
Congenital malformations of adrenal gland,Other anomalies syndromes
Congenital malformations of other endocrine glands,Other anomalies syndromes
Situs inversus,Other anomalies syndromes
Conjoined twins,Other anomalies syndromes
Other specified congenital malformations,Other anomalies syndromes
Anencephaly and similar,Neural Tube Defects
Encephalocele and meningocele,Neural Tube Defects
Spina Bifida,Neural Tube Defects
Hydrocephaly,Nervous system anomalies
Nervous system anomalies,malformations
Arhinencephaly holoprosencephaly,Other congenital malformations of brain
Other congenital malformations of brain,Nervous system anomalies
Other congenital malformations of spinal cord,Nervous system anomalies
Other congenital malformations of nervous system,Nervous system anomalies
Congenital malformations of eyelid lacrimal apparatus and orbit,Eye anomalies
Anophthalmos microphthalmos,Anophtalmos microphtalmos and macrophtalmos
Anophtalmos microphtalmos and macrophtalmos,Eye anomalies
Congenital lens malformations,Eye anomalies
Congenital malformations of anterior segment of eye,Eye anomalies
Congenital malformations of posterior segment of eye,Eye anomalies
Other congenital malformations of eye,Eye anomalies
Anotia and atresia stenosis stricture of external auditory canal,Congenital malformations of ear causing impairment of hearing
Congenital malformations of ear causing impairment of hearing,Ear face and neck anomalies
Ear face and neck anomalies,malformations
